implementation,corpus,threads,trial,gb_per_second
parabix-pablo,multilingual,2,1,11.0799
parabix-pablo,multilingual,2,2,10.8617
parabix-pablo,multilingual,2,3,11.1005
parabix-pablo,multilingual,2,4,11.08
parabix-pablo,multilingual,2,5,11.0292
parabix-pablo,multilingual,2,6,11.0694
parabix-pablo,multilingual,2,7,10.9751
parabix-pablo,multilingual,2,8,10.9147
parabix-pablo,multilingual,2,9,11.0925
parabix-pablo,multilingual,2,10,11.0717
parabix-pablo,multilingual,2,11,11.0156
parabix-pablo,multilingual,2,12,11.1318
parabix-pablo,multilingual,2,13,10.9185
parabix-pablo,multilingual,2,14,11.0697
parabix-pablo,multilingual,2,15,10.9344
parabix-pablo,multilingual,2,16,11.0131
parabix-pablo,multilingual,2,17,11.066
parabix-pablo,multilingual,2,18,10.892
parabix-pablo,multilingual,2,19,10.906
parabix-pablo,multilingual,2,20,11.0395
parabix-pablo,multilingual,2,21,11.0697
parabix-pablo,multilingual,2,22,10.9851
parabix-pablo,multilingual,2,23,11.1181
parabix-pablo,multilingual,2,24,10.2591
parabix-pablo,multilingual,2,25,11.0531
keiser-lemire-simdjson,multilingual,1,1,11.0436
keiser-lemire-simdjson,multilingual,1,2,10.186
keiser-lemire-simdjson,multilingual,1,3,11.0489
keiser-lemire-simdjson,multilingual,1,4,11.0109
keiser-lemire-simdjson,multilingual,1,5,10.9524
keiser-lemire-simdjson,multilingual,1,6,10.8967
keiser-lemire-simdjson,multilingual,1,7,10.3915
keiser-lemire-simdjson,multilingual,1,8,11.0239
keiser-lemire-simdjson,multilingual,1,9,11.0084
keiser-lemire-simdjson,multilingual,1,10,10.9782
keiser-lemire-simdjson,multilingual,1,11,10.9219
keiser-lemire-simdjson,multilingual,1,12,11.0449
keiser-lemire-simdjson,multilingual,1,13,10.4389
keiser-lemire-simdjson,multilingual,1,14,10.9839
keiser-lemire-simdjson,multilingual,1,15,10.8921
keiser-lemire-simdjson,multilingual,1,16,10.9466
keiser-lemire-simdjson,multilingual,1,17,11.02
keiser-lemire-simdjson,multilingual,1,18,9.9883
keiser-lemire-simdjson,multilingual,1,19,10.8939
keiser-lemire-simdjson,multilingual,1,20,10.9965
keiser-lemire-simdjson,multilingual,1,21,10.994
keiser-lemire-simdjson,multilingual,1,22,10.9923
keiser-lemire-simdjson,multilingual,1,23,10.9291
keiser-lemire-simdjson,multilingual,1,24,10.3615
keiser-lemire-simdjson,multilingual,1,25,11.0198
parabix-pablo,continuation,2,1,10.98
parabix-pablo,continuation,2,2,11.0674
parabix-pablo,continuation,2,3,10.9207
parabix-pablo,continuation,2,4,11.0973
parabix-pablo,continuation,2,5,10.9936
parabix-pablo,continuation,2,6,11.0599
parabix-pablo,continuation,2,7,11.0938
parabix-pablo,continuation,2,8,11.093
parabix-pablo,continuation,2,9,10.767
parabix-pablo,continuation,2,10,11.0785
parabix-pablo,continuation,2,11,11.0265
parabix-pablo,continuation,2,12,10.9458
parabix-pablo,continuation,2,13,11.1016
parabix-pablo,continuation,2,14,10.6073
parabix-pablo,continuation,2,15,10.783
parabix-pablo,continuation,2,16,11.0472
parabix-pablo,continuation,2,17,11.1068
parabix-pablo,continuation,2,18,11.0429
parabix-pablo,continuation,2,19,10.8487
parabix-pablo,continuation,2,20,11.0407
parabix-pablo,continuation,2,21,11.1134
parabix-pablo,continuation,2,22,11.0201
parabix-pablo,continuation,2,23,11.004
parabix-pablo,continuation,2,24,11.0791
parabix-pablo,continuation,2,25,10.9463
keiser-lemire-simdjson,continuation,1,1,10.9181
keiser-lemire-simdjson,continuation,1,2,10.8868
keiser-lemire-simdjson,continuation,1,3,11.0155
keiser-lemire-simdjson,continuation,1,4,9.6958
keiser-lemire-simdjson,continuation,1,5,11.0386
keiser-lemire-simdjson,continuation,1,6,10.964
keiser-lemire-simdjson,continuation,1,7,10.9046
keiser-lemire-simdjson,continuation,1,8,11.0159
keiser-lemire-simdjson,continuation,1,9,10.7818
keiser-lemire-simdjson,continuation,1,10,10.9527
keiser-lemire-simdjson,continuation,1,11,10.9704
keiser-lemire-simdjson,continuation,1,12,10.8833
keiser-lemire-simdjson,continuation,1,13,10.9218
keiser-lemire-simdjson,continuation,1,14,10.9159
keiser-lemire-simdjson,continuation,1,15,10.9951
keiser-lemire-simdjson,continuation,1,16,11.0501
keiser-lemire-simdjson,continuation,1,17,10.9551
keiser-lemire-simdjson,continuation,1,18,10.927
keiser-lemire-simdjson,continuation,1,19,11.0161
keiser-lemire-simdjson,continuation,1,20,10.8598
keiser-lemire-simdjson,continuation,1,21,11.0204
keiser-lemire-simdjson,continuation,1,22,10.9139
keiser-lemire-simdjson,continuation,1,23,11.0073
keiser-lemire-simdjson,continuation,1,24,10.9683
keiser-lemire-simdjson,continuation,1,25,10.8088
parabix-pablo,ascii,2,1,10.1364
parabix-pablo,ascii,2,2,10.5488
parabix-pablo,ascii,2,3,10.9509
parabix-pablo,ascii,2,4,10.9424
parabix-pablo,ascii,2,5,11.0458
parabix-pablo,ascii,2,6,10.7787
parabix-pablo,ascii,2,7,11.0377
parabix-pablo,ascii,2,8,11.0828
parabix-pablo,ascii,2,9,10.9842
parabix-pablo,ascii,2,10,10.94
parabix-pablo,ascii,2,11,11.054
parabix-pablo,ascii,2,12,10.7644
parabix-pablo,ascii,2,13,11.0639
parabix-pablo,ascii,2,14,10.9997
parabix-pablo,ascii,2,15,10.8956
parabix-pablo,ascii,2,16,11.0665
parabix-pablo,ascii,2,17,10.7316
parabix-pablo,ascii,2,18,10.8781
parabix-pablo,ascii,2,19,10.9549
parabix-pablo,ascii,2,20,11.1042
parabix-pablo,ascii,2,21,11.0495
parabix-pablo,ascii,2,22,11.0206
parabix-pablo,ascii,2,23,10.7466
parabix-pablo,ascii,2,24,11.0866
parabix-pablo,ascii,2,25,11.0265
keiser-lemire-simdjson,ascii,1,1,59.9008
keiser-lemire-simdjson,ascii,1,2,62.7137
keiser-lemire-simdjson,ascii,1,3,62.6162
keiser-lemire-simdjson,ascii,1,4,60.0886
keiser-lemire-simdjson,ascii,1,5,62.4511
keiser-lemire-simdjson,ascii,1,6,62.8704
