implementation,corpus,bytes,threads,trial,elapsed_seconds,gb_per_second
parabix-direct,ascii,33554460,1,1,0.00767803220058,4.37018
parabix-direct,multilingual,33554488,1,1,0.007702902483232,4.35608
parabix-direct,continuation,33554449,1,1,0.007703497510318,4.35574
parabix-direct,invalid,33554488,1,1,0.0076704217388479995,4.37453
parabix-direct,ascii,33554460,2,1,0.0082770464205,4.05392
parabix-direct,multilingual,33554488,2,1,0.00828745521868,4.04883
parabix-direct,continuation,33554449,2,1,0.008312242324076,4.03675
parabix-direct,invalid,33554488,2,1,0.00828695190136,4.04907
parabix-direct,ascii,33554460,4,1,0.00881421977064,3.80686
parabix-direct,multilingual,33554488,4,1,0.008812213856512001,3.80773
parabix-direct,continuation,33554449,4,1,0.008845221191991999,3.79352
parabix-direct,invalid,33554488,4,1,0.008752386204408,3.83376
parabix-direct,ascii,33554460,8,1,0.027102943975799997,1.23804
parabix-direct,multilingual,33554488,8,1,0.024398172869048,1.37529
parabix-direct,continuation,33554449,8,1,0.025115471522051,1.33601
parabix-direct,invalid,33554488,8,1,0.026882412942616,1.24819
parabix-pablo,ascii,33554460,1,1,0.00472990379052,7.09409
parabix-pablo,multilingual,33554488,1,1,0.004669509659056,7.18588
parabix-pablo,continuation,33554449,1,1,0.004637493287391999,7.23546
parabix-pablo,invalid,33554488,1,1,0.004651054690656001,7.2144
parabix-pablo,ascii,33554460,2,1,0.003047624094852,11.01
parabix-pablo,multilingual,33554488,2,1,0.00302166553062,11.1046
parabix-pablo,continuation,33554449,2,1,0.0030287487182013,11.0786
parabix-pablo,invalid,33554488,2,1,0.0030275845423032,11.0829
parabix-pablo,ascii,33554460,4,1,0.0032507929947059996,10.3219
parabix-pablo,multilingual,33554488,4,1,0.0032462088088671998,10.3365
parabix-pablo,continuation,33554449,4,1,0.0032629990375601,10.2833
parabix-pablo,invalid,33554488,4,1,0.0032895410746704,10.2004
parabix-pablo,ascii,33554460,8,1,0.01599527686416,2.09777
parabix-pablo,multilingual,33554488,8,1,0.016562965039632,2.02588
parabix-pablo,continuation,33554449,8,1,0.015846491193638002,2.11747
parabix-pablo,invalid,33554488,8,1,0.015073917525656,2.226
parabix-lookup,ascii,33554460,1,1,0.0049432430472,6.78794
parabix-lookup,multilingual,33554488,1,1,0.0049643864996,6.75906
parabix-lookup,continuation,33554449,1,1,0.0048890509915450004,6.8632
parabix-lookup,invalid,33554488,1,1,0.0049094578027440005,6.83466
parabix-lookup,ascii,33554460,2,1,0.00545219709648,6.15429
parabix-lookup,multilingual,33554488,2,1,0.0054878365124,6.11434
parabix-lookup,continuation,33554449,2,1,0.005504070487266001,6.09628
parabix-lookup,invalid,33554488,2,1,0.0054796827718160005,6.12345
parabix-lookup,ascii,33554460,4,1,0.0062080784169,5.40496
parabix-lookup,multilingual,33554488,4,1,0.005922971112784,5.66516
parabix-lookup,continuation,33554449,4,1,0.005680030017822,5.90743
parabix-lookup,invalid,33554488,4,1,0.005796370029560001,5.78887
parabix-lookup,ascii,33554460,8,1,0.01753683586548,1.91337
parabix-lookup,multilingual,33554488,8,1,0.017061651840288003,1.96666
parabix-lookup,continuation,33554449,8,1,0.017386673957187,1.9299
parabix-lookup,invalid,33554488,8,1,0.016641549650528,2.01631
simdjson,ascii,33554460,1,1,0.000572583371778,58.6018
simdjson,multilingual,33554488,1,1,0.0030769163505608003,10.9052
simdjson,continuation,33554449,1,1,0.0030983339345375003,10.8298
simdjson,invalid,33554488,1,1,0.0030775404640376,10.903
scalar,ascii,33554460,1,1,0.01109874162528,3.02326
scalar,multilingual,33554488,1,1,0.015518212501264,2.16227
scalar,continuation,33554449,1,1,0.019985331814441003,1.67895
scalar,invalid,33554488,1,1,0.015560692483072,2.15636
